ZONA;TURMA;CARTEIRA;TOTAL_ESPERADO_MAPA;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DEFASAGEM_MAPA;DEFASAGEM_PROGRAMACAO;QTD_TURMAS;QTD_NOTAS;JUSTIFICATIVA;QTD_SUSCETIVEIS;VALOR_COBRAVEL;PECLD;TICKET_COBRAVEL;TICKET_PECLD
0500;STC;CORTE;11,0;11,0;11,0;0,0;0,0;;;;;100,0;136060,14;30529,771290045;1360,6014000000002;305,29771290045
0500;EPS;RECORTE;16,0;15,0;15,0;0,0;1,0;;;;;211,0;200146,64999999997;72666,039845435;948,5623222748814;344,3888144333412
0502;STC;CORTE;11,0;11,0;11,0;0,0;0,0;;;;;118,0;108491,47;25963,179857865;919,4192372881356;220,02694794800848
0503;STC;CORTE;11,0;12,0;11,0;1,0;-1,0;;;;;122,0;129590,95999999998;20385,561609343;1062,2209836065572;167,09476728969673
0503;EPS;RECORTE;16,0;16,0;13,0;3,0;0,0;;;;;270,0;207117,54000000004;70489,582169343;767,1020000000001;261,0725265531222
0504;STC;CORTE;11,0;12,0;12,0;0,0;-1,0;;;;;19,0;13092,440000000002;2032,881860984;689,0757894736844;106,99378215705264
0506;STC;CORTE;11,0;10,0;10,0;0,0;1,0;;;;;40,0;41507,25;9155,271185193;1037,68125;228,881779629825
0508;STC;CORTE;11,0;12,0;11,0;1,0;-1,0;;;;;50,0;37608,1;5775,082986822;752,1619999999999;115,50165973644
0508;EPS;RECORTE;16,0;16,0;9,0;7,0;0,0;;;;;325,0;153110,28999999998;73411,9790464;471,10858461538453;225,88301245046154
0509;STC;CORTE;11,0;11,0;10,0;1,0;0,0;;;;;69,0;44487,55999999999;10963,016043457;644,7472463768114;158,88429048488405
0512;STC;CORTE;11,0;11,0;11,0;0,0;0,0;;;;;4,0;2239,0099999999998;566,751787574;559,7524999999999;141,6879468935
0518;EPS;RECORTE;16,0;16,0;13,0;3,0;0,0;;;;;441,0;317192,71;120971,546435729;719,2578458049887;274,3118966796576
0519;STC;CORTE;11,0;12,0;11,0;1,0;-1,0;;;;;117,0;100779,32;14886,060271707;861,3617094017095;127,23128437356411
0519;EPS;RECORTE;16,0;16,0;14,0;2,0;0,0;;;;;861,0;491182,95000000007;163270,301635417;570,4796167247388;189,62868947202904
0520;EPS;RECORTE;16,0;16,0;11,0;5,0;0,0;;;;;469,0;252359,41;86507,091012044;538,0797654584222;184,4500874457228
