BASE CLICK;ZONA;
ITAPEBI CENTRO URBANO;0104;
ITAMARAJU RURAL LESTE;0105;
IPIRA I;0106;
SANTO ESTEVÃO;0107;
FEIRA SOBRADINHO;0108;
FEIRA MANGABEIRA;0109;
FEIRA PAMPALONA;0110;
FEIRA CAMPO LIMPO;0111;
FEIRA PEDRA FERRADA;0112;
BONFIM DE FEIRA;0113;
FEIRA DE SANTANA;0114;
FEIRA MARIA QUITERIA;0115;
IPIRA VI;0116;
IPIRA IV;0117;
IPIRA III;0118;
IPIRA II;0119;
IPIRA V;0120;
CONCEIÇÃO DE FEIRA;0121;
FEIRA SIM;0122;
FEIRA CASEB;0123;
FEIRA TOMBA;0124;
FEIRA X;0125;
FEIRA SANTA MONICA;0126;
FEIRA SUBAE;0127;
SÃO GONÇALO;0128;
GRAÇA;0129;
COSME DE FARIAS;0130;
SETE PORTAS;0131;
BARRA SALVADOR;0132;
AMARALINA;0133;
PRACA DA SE;0134;
IAPI;0135;
FEDERAÇÃO;0136;
BROTAS;0137;
CAETITE;0138;
CARINHANHA;0139;
CANDIBA;0140;
IGAPORA;0141;
GUANAMBI-URB;0142;
GUANAMBI-RUR-LESTE;0143;
GUANAMBI-RUR-OESTE;0144;
IUIU;0145;
JACARACI;0146;
LICINIO DE ALMEIDA;0147;
MALHADA;0148;
MORTUGABA;0149;
PALMAS DE MONTE ALTO;0150;
URANDI;0151;
PINDAI;0152;
SEBASTIAO LARANJEIRAS;0153;
BARRA SUL;0154;
BARRA NORTE;0155;
BROTAS DE MACAUBAS CENTRO;0157;
BROTAS DE MACAUBAS LESTE;0158;
IPUPIARA;0165;
BURITIRAMA;0159;
SANTA RITA - MANSIDAO;0169;
BOQUIRA;0156;
MACAUBAS LESTE;0161;
MACAUBAS OESTE;0162;
IBIPITANGA;0164;
OLIVEIRA DOS BREJINHOS LESTE;0168;
IBITIARA;0160;
NOVO HORIZONTE;0167;
IBOTIRAMA;0163;
MUQUEM DE SAO FRANCISCO;0166;
OLIVEIRA DOS BREJINHOS CENTRO;0170;
MORPARA;0171;
CANAVIEIRAS;0173;
CANAVIEIRAS - RURAL OURICANA;0174;
CANAVIEIRAS - UNA;0175;
CANAVIEIRAS - RURAL;0176;
COARACI - BANCO CENTRAL;0177;
ZONA NOR ILHEUS;0178;
ILHEUS ITABUNA;0179;
ZONA SUL ILHEUS;0180;
ILHEUS URUCUCA;0181;
ILHEUS ITACARE;0182;
ITACARE;0183;
UNA;0186;
URUCUCA;0187;
IPIAU;0188;
UBAITABA;0189;
DARIO MEIRA;0190;
IPIAU I;0526;
IPIAU II;0527;
MARAU_ILHA;0528;
ITAGIBA;0530;
MARAU;0531;
UBAITABA_I;0532;
AMERICA DOURADA;0192;
IRECÊ;0193;
BARRA DO MENDES;0194;
IBITITÁ;0195;
BARRO ALTO;0196;
CAFARNAUM;0197;
CANARANA;0198;
CENTRAL;0199;
GENTIO DO OURO;0200;
IBIPEBA;0201;
ITAGUACU DA BAHIA;0202;
JOAO DOURADO;0203;
JUSSARA;0204;
LAPAO;0205;
MULUNGU DO MORRO;0206;
MORRO DO CHAPEU;0207;
PRESIDENTE DUTRA;0208;
UIBAI;0209;
SAO GABRIEL;0210;
XIQUE-XIQUE;0211;
ITAETE;0213;
IRAMAIA;0220;
MARCIONILIO SOUZA;0223;
BONITO;0218;
UTINGA;0219;
WAGNER;0224;
RUI BARBOSA;0216;
LAGEDINHO;0221;
MACAJUBA;0222;
BOA VSITA DO TUPIM;0214;
IACU;0215;
ITABERABA;0217;
COARACI;0172;
COARACI - ITAJUIPE;0184;
COARACI - ITAPITANGA;0185;
CAMACAN - ARATACA;0225;
BUERAREMA;0226;
CAMACAN;0227;
IBICARAI;0228;
IBICARAI - ITAPE;0229;
ITABUNA2;0230;
CENTRO ITABUNA;0231;
ITABUNA3;0232;
ITABUNA1;0233;
IBICARAI - RURAL;0234;
CAMACAN - MASCOTE;0235;
CAMACAN - SANTA LUZIA;0236;
CAATIBA;0237;
NOVA CANAA;0238;
IBICUÍ;0240;
IGUAI;0241;
ITAMBÉ;0242;
RIBEIRAO DO LARGO;0249;
