UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
FEIRA DE SANTANA NORTE;SIM;0107;;;;;1;20;18;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0122;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0121;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
FEIRA DE SANTANA SUL;SIM;0124;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
GRACA;SIM;0130;;;;;2;19;17;3000;9000;200;RECORTE;STC;1,0;2,0;0,0;;
GRACA;SIM;0134;;;;;1;19;17;3000;9000;200;RECORTE;STC;1,0;2,0;0,0;;
GRACA;SIM;0135;;;;;2;19;17;3000;9000;200;RECORTE;STC;1,0;2,0;0,0;;
GRACA;SIM;0136;;;;;2;19;17;3000;9000;200;RECORTE;STC;1,0;2,0;0,0;;
GRACA;SIM;0137;;;;;2;19;17;4000;9000;200;RECORTE;STC;1,0;2,0;0,0;;
GRACA;SIM;0134;;;;;1;19;17;3000;9000;200;CONVENCIONAL;STC;1,0;2,0;0,0;;
GRACA;SIM;0137;;;;;1;19;17;3000;9000;200;CONVENCIONAL;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0138;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0142;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
GUANAMBI;SIM;0152;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0169;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0160;;;;;1;16;14;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0155;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0161;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0170;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0165;;;;;1;16;14;7000;14000;1000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0169;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0160;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0163;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0166;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0180;;;;;1;21;19;5000;9000;2000;RECORTE;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0173;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0178;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0180;;;;;2;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0179;;;;;1;11;10;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
ILHEUS;SIM;0183;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0532;;;;;1;16;14;4000;9000;500;RECORTE;STC;1,0;2,0;0,0;;
IPIAU;SIM;0188;;;;;1;19;17;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0526;;;;;1;13;11;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0530;;;;;1;13;11;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IPIAU;SIM;0189;;;;;1;16;14;4000;9000;500;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0195;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0197;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0200;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0202;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0203;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0204;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0205;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0208;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0198;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
IRECE;SIM;0201;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
