UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
LAURO DE FREITAS;SIM;0298;;;;;2;6;5;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
REMANSO;SIM;0389;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
REMANSO;SIM;0390;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
REMANSO;SIM;0393;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
REMANSO;SIM;0394;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
REMANSO;SIM;0395;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0398;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0399;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0405;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0408;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0409;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0419;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0420;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0421;;;;;1;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0422;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SANTO AMARO;SIM;0424;;;;;2;8;7;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0456;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0457;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0458;;;;;2;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0459;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0462;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0463;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
SERRINHA;SIM;0468;;;;;1;4;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;0485;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;0469;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;0474;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;0475;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
TEIXEIRA DE FREITAS;SIM;0479;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0500;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0506;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0519;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0520;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0525;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0501;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0508;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
VITORIA DA CONQUISTA;SIM;0516;;;;;1;5;4;500;2500;500;RECORTE;EPS;1,0;2,0;0,0;;
